ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
15512,1073014,Inactive,105267,3HR Com Mon-Sat 0700-1900,,On Street,Manhattan,EAST 63 STREET,N,LEXINGTON AVENUE,3 AVENUE,40.7643631491881,-73.9653724530849,993842.284937307,217756.745966643,POINT (-73.9653724530849 40.7643631491881)
11381,1263017,Active,101020,3HR Com Mon-Fri 1000-1400 /2HR Pas Sat 0900-1900,,On Street,Manhattan,1 AVENUE,E,EAST 62 STREET,EAST 63 STREET,40.7618745735582,-73.9601842242294,995279.904437393,216850.686755151,POINT (-73.9601842242294 40.7618745735582)
11114,4113139,Active,465167,2 HR Pas Mon-Sat 0800-1900,,,Queens,Mott Avenue,S,Beach 22 Street,Beach 21 Street,40.6045964011987,-73.7537438028787,1052629.74544613,159643.283125564,POINT (-73.7537438028787 40.6045964011987)
3160,3083034,Active,309168,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,BRIGHTON 12 STREET,W,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,40.5785152956581,-73.9576904273273,996003.010602728,150047.998510391,POINT (-73.9576904273273 40.5785152956581)
2065,3493077,Active,338608,2 HR Pas 0830-1900 Mon-Thur/ 4Hr Pas 0830-1900 Fri,,On Street,Brooklyn,12 AVENUE,E,50 STREET,51 STREET,40.6353401381968,-73.9952744835706,985561.565934464,170747.956454232,POINT (-73.9952744835706 40.6353401381968)
2370,2293016,Active,207707,2 HR Pas Mon-Sat 0730-1900,,On Street,Bronx,BAYCHESTER AVENUE,E,TILLOTSON AVENUE,BOSTON ROAD,40.8796615848845,-73.8377230820099,1029124.99127464,259803.824930057,POINT (-73.8377230820099 40.8796615848845)
7648,2313003,Inactive,205731,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,WESTCHESTER AVENUE,S,ST PAUL AVENUE,COLONIAL AVENUE,40.8523930998886,-73.8280543918052,1031818.20537639,249873.971430227,POINT (-73.8280543918052 40.8523930998886)
4363,3423010,Active,306347,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,5 AVENUE,E,61 STREET,62 STREET,40.6386250743413,-74.0169585085954,979543.401789725,171945.167642474,POINT (-74.0169585085954 40.6386250743413)
9372,4153010,Active,425992,12HR Pas Mon-Sat 0700-1900,,On Street,Queens,32 PLACE,E,QUEENS BOULEVARD,47 AVENUE,40.7436966546242,-73.9327731797648,1002878.48864964,210232.52413848,POINT (-73.9327731797648 40.7436966546242)
13113,3503034,Inactive,334871,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,EAST 2 STREET,W,ALBEMARLE ROAD,CHURCH AVENUE,40.6434259383103,-73.9784113766014,990241.191089645,173694.535534814,POINT (-73.9784113766014 40.6434259383103)
10894,3013014,Active,337744,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,ATLANTIC AVENUE,S,BOND STREET,NEVINS STREET,40.6861950278894,-73.9831777417304,988915.455552131,189276.229436979,POINT (-73.9831777417304 40.6861950278894)
7806,5023001,Active,508846,2 HR Pas Mon-Sat 0900-1900,,On Street,Staten Island,VICTORY BOULEVARD,S,CORSON AVENUE,BROOK STREET,40.6376606887792,-74.0798469884169,962089.261501223,171603.460320637,POINT (-74.0798469884169 40.6376606887792)
1016,3013012,Active,313639,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,ATLANTIC AVENUE,S,HOYT STREET,BOND STREET,40.6870011397281,-73.9852518974963,988340.163395643,189569.815792054,POINT (-73.9852518974963 40.6870011397281)
