ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
3478,4443002,Active,419226,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,ROCKAWAY BOULEVARD,N,111 STREET,112 STREET,40.6774838436362,-73.8268868290393,1032267.14378297,186149.491924062,POINT (-73.8268868290393 40.6774838436362)
4364,5780279,Retired,,,,,Staten Island,RICHMOND TERRACE,,,HAMILTON AVENUE,40.644268626711,-74.0752871793822,963356.860015884,174009.790153638,POINT (-74.0752871793822 40.644268626711)
4597,4451796,Active,404962,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,99 STREET,W,63 ROAD,63 DRIVE,40.731847435107,-73.8568133976332,1023933.91569881,205940.76467739,POINT (-73.8568133976332 40.731847435107)
5054,4081898,Active,426822,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,89 AVENUE,N,153 STREET,BURDETTE PLACE,40.7053971575893,-73.80312681553,1038834.69429614,196333.023722306,POINT (-73.80312681553 40.7053971575893)
9819,1443832,Active,107117,1HR Com Mon-Sat 1900-2400,,On Street,Manhattan,WEST 42 STREET,S,9 AVENUE,DYER AVENUE,40.7587553310394,-73.9936170289228,986018.315677136,215711.802221894,POINT (-73.9936170289228 40.7587553310394)
11849,1218156,Active,114166,2HR Pas Mon-Sat 0800-2200,,On Street,Manhattan,BROADWAY,E,WEST 90 STREET,WEST 91 STREET,40.7911050120327,-73.9741630190722,991404.309170216,227498.8672304,POINT (-73.9741630190722 40.7911050120327)
12473,3071403,Active,311143,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,18 AVENUE,W,81 STREET,82 STREET,40.6097553185996,-73.9997447577059,984320.869596973,161426.694584981,POINT (-73.9997447577059 40.6097553185996)
14222,4293022,Active,425607,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,101 AVENUE,N,111 STREET,112 STREET,40.6882307972875,-73.83229306151,1030760.09955297,190061.99394156,POINT (-73.83229306151 40.6882307972875)
2164,1433050,Inactive,104672,3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,,On Street,Manhattan,WEST 43 STREET,N,5 AVENUE,AVENUE OF THE AMERICAS,40.7544099616173,-73.9808676886288,989550.693454891,214129.157093227,POINT (-73.9808676886288 40.7544099616173)
8608,3383025,Active,332626,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,AVENUE L,N,EAST 92 STREET,EAST 93 STREET,40.6365536664391,-73.8986992835675,1012365.47164413,171206.29904148,POINT (-73.8986992835675 40.6365536664391)
646,2083060,Active,207563,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,WHITE PLAINS ROAD,W,EAST 239 STREET,EAST 240 STREET,40.9017442611577,-73.8518502173003,1025204.76289463,267842.508327723,POINT (-73.8518502173003 40.9017442611577)
13951,4423106,Active,430112,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,164 STREET,E,69 AVENUE,JEWEL AVENUE,40.7322890505903,-73.804885620259,1038325.22910772,206129.449011311,POINT (-73.804885620259 40.7322890505903)
893,3493005,Active,318496,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,14 AVENUE,E,64 STREET,65 STREET,40.6249420163262,-73.9989178745161,984550.390463382,166959.60904406,POINT (-73.9989178745161 40.6249420163262)
70,4151997,Active,416608,4HR Pas Mon-Sat 0900-1900,,On Street,Queens,31 STREET,W,THOMSON AVENUE,47 AVENUE,40.7434376889574,-73.9357783448582,1002045.8295538,210137.549918979,POINT (-73.9357783448582 40.7434376889574)
10823,1453150,Active,101472,3HR Com Mon-Fri 0830-1900,,On Street,Manhattan,EAST 18 STREET,S,PARK AVENUE SOUTH,IRVING PLACE,40.7365556080847,-73.9872906024262,987772.13992539,207623.921744138,POINT (-73.9872906024262 40.7365556080847)
5386,1443521,Inactive,104047,3HR Com Mon-Fri 0730-1900,,On Street,Manhattan,WEST 26 STREET,S,7 AVENUE,8 AVENUE,40.7461877764889,-73.9948283343415,985683.010245383,211133.013479233,POINT (-73.9948283343415 40.7461877764889)
5811,1023094,Active,105686,2HR Pas Mon-Sat 1000-1900,,On Street,Manhattan,CLINTON STREET,W,STANTON STREET,RIVINGTON STREET,40.7199202994529,-73.9846904274374,988493.782510966,201563.276713222,POINT (-73.9846904274374 40.7199202994529)
7376,4123073,Active,466558,2 HR Pas Mon-Sat 0800-2200,,On Street,Queens,37 ROAD,S,74 STREET,75 STREET,40.7472440431454,-73.8910828937985,1014429.21587622,211536.565165564,POINT (-73.8910828937985 40.7472440431454)
5660,4383135,Retired,436152,1HR Pas Mon-Fri 0700-1600,,On Street,Queens,10 AVENUE,N,152 STREET,154 STREET,40.7935123707162,-73.8088917665938,1037166.27866971,228432.61897181,POINT (-73.8088917665938 40.7935123707162)
14978,4303005,Active,406266,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,HILLSIDE AVENUE,S,HILLSIDE AVENUE,88 AVENUE,40.7310825525405,-73.7421764129325,1055706.10379472,205734.818238899,POINT (-73.7421764129325 40.7310825525405)
9930,3123183,Active,307534,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,7 AVENUE,E,58 STREET,59 STREET,40.6376282315067,-74.0108247984914,981245.68283397,171581.720862806,POINT (-74.0108247984914 40.6376282315067)
11867,1442554,Active,102729,3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,WEST 39 STREET,S,5 AVENUE,AVENUE OF THE AMERICAS,40.7519780696824,-73.983373364313,988856.652848214,213242.998432472,POINT (-73.983373364313 40.7519780696824)
12929,4103008,Active,457527,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,BEACH 116 STREET,E,ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH BOULEVARD,40.5784281081318,-73.8364069392935,1029693.91074046,150055.830187649,POINT (-73.8364069392935 40.5784281081318)
2200,1033064,Active,110273,2HR Pas Mon-Sat 0700-1900,,On Street,Manhattan,COLUMBUS AVENUE,E,WEST 96 STREET,WEST 97 STREET,40.7933003657537,-73.9670848346955,993363.971261382,228299.367597893,POINT (-73.9670848346955 40.7933003657537)
8063,3193088,Active,325501,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,BROADWAY,E,MADISON STREET,PUTNAM AVENUE,40.6880626492571,-73.919404650608,1006601.54353946,189966.492820233,POINT (-73.919404650608 40.6880626492571)
3022,1442560,Active,106481,3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,WEST 39 STREET,N,5 AVENUE,AVENUE OF THE AMERICAS,40.7519449995437,-73.9830033964816,988959.160189137,213230.96958515,POINT (-73.9830033964816 40.7519449995437)
13651,4061162,Retired,451192,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,41 AVENUE,N,149 STREET,149 PLACE,40.7622026707183,-73.8156139626968,1035328.97263305,217021.475455567,POINT (-73.8156139626968 40.7622026707183)
8537,1218203,Active,112811,2HR Pas Mon-Sat 0830-2200,,On Street,Manhattan,BROADWAY,W,WEST 100 STREET,WEST 101 STREET,40.7975737846529,-73.9698685916521,992592.633565217,229856.044930726,POINT (-73.9698685916521 40.7975737846529)
5438,4293114,Active,401501,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,101 AVENUE,N,108 STREET,109 STREET,40.6874161178396,-73.8351551621492,1029966.91380338,189763.676296726,POINT (-73.8351551621492 40.6874161178396)
1323,1208031,Active,109369,3HR Com Mon-Sat 0900-1900,,On Street,Manhattan,3 AVENUE,E,EAST 88 STREET,EAST 89 STREET,40.780531955096,-73.9525948145243,997378.670252964,223649.238774806,POINT (-73.9525948145243 40.780531955096)
1666,3103032,Active,312960,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,64 STREET,S,18 AVENUE,19 AVENUE,40.6194237356521,-73.9891328748115,987266.887326971,164949.338786393,POINT (-73.9891328748115 40.6194237356521)
5510,1443162,Active,103109,3HR Com Mon-Fri 0700-1500 /2HR Pas Sat 0800-1900,,On Street,Manhattan,EAST 36 STREET,S,LEXINGTON AVENUE,3 AVENUE,40.7473935692158,-73.9782254190451,990283.381622061,211573.029987648,POINT (-73.9782254190451 40.7473935692158)
5687,3423081,Active,314203,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,5 AVENUE,E,SENATOR STREET,68 STREET,40.6344581007711,-74.0205213801686,978554.220697224,170427.238263637,POINT (-74.0205213801686 40.6344581007711)
1037,3343042,Retired,301777,2 HR Pas Mon-Sat 0900-2200,,On Street,Brooklyn,EMMONS AVENUE,S,OCEAN AVENUE,EAST 21 STREET,40.5837065889743,-73.9477395698862,998766.091690719,151940.80804497,POINT (-73.9477395698862 40.5837065889743)
9983,1473102,Active,106814,3HR Com Mon-Fri 0800-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0800-2200,,On Street,Manhattan,BROOME STREET,S,BROADWAY,MERCER STREET,40.7219601552108,-74.0003484100549,984153.424393803,202306.088219732,POINT (-74.0003484100549 40.7219601552108)
2823,2253164,Active,211494,6HR Pas Mon-Fri 0800-2200,,On Street,Bronx,BEDFORD PARK BL WEST,N,GOULDEN AVENUE,PAUL AVENUE,40.8749957876398,-73.8925494127558,1013965.77323355,258080.548520982,POINT (-73.8925494127558 40.8749957876398)
7305,1453372,Active,101796,3HR Com Mon-Sat 0700-1900,,On Street,Manhattan,EAST 16 STREET,N,5 AVENUE,UNION SQUARE WEST,40.7370158619744,-73.9917912583852,986524.862892389,207791.457826391,POINT (-73.9917912583852 40.7370158619744)
14853,4073044,Active,415528,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,STEINWAY STREET,W,31 AVENUE,BROADWAY,40.7597713412675,-73.918446779489,1006842.8672038,216092.420555145,POINT (-73.918446779489 40.7597713412675)
10008,2203004,Active,217302,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,WESTCHESTER AVENUE,N,MORRISON AVENUE,HARROD AVENUE,40.8297614540609,-73.8741015318476,1019091.27184081,241606.767164141,POINT (-73.8741015318476 40.8297614540609)
9132,3543012,Active,320247,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,AVENUE U,N,WEST 7 STREET,WEST 6 STREET,40.5965081334391,-73.9780308134724,990351.09047614,156601.169131055,POINT (-73.9780308134724 40.5965081334391)
2631,4221246,Retired,468143,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,37 AVENUE,N,95 STREET,WARREN STREET,40.7512680693674,-73.8718132283599,1019766.38794464,213009.871930227,POINT (-73.8718132283599 40.7512680693674)
13053,4173109,Active,464466,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,62 AVENUE,S,CONNECTOR,93 STREET,40.7319989156682,-73.8657343201964,1021461.41506639,205992.038196892,POINT (-73.8657343201964 40.7319989156682)
6086,1443349,Active,101303,3HR Com Mon-Sat 0800-1800,,On Street,Manhattan,WEST 32 STREET,S,5 AVENUE,BROADWAY,40.7476068547552,-73.9866905414545,987937.822336808,211650.267037898,POINT (-73.9866905414545 40.7476068547552)
13267,2162890,Active,220996,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,LAMPORT PLACE,E,REVERE AVENUE,EAST TREMONT AVENUE,40.8248413639058,-73.8207764051014,1033852.17243706,239839.903571889,POINT (-73.8207764051014 40.8248413639058)
3874,1273047,Active,109392,2HR Pas Mon-Sat 1000-1500,,On Street,Manhattan,EAST 97 STREET,S,5 AVENUE,MADISON AVENUE,40.7880056357893,-73.9540261466983,996980.839683801,226371.943631232,POINT (-73.9540261466983 40.7880056357893)
10918,4152082,Active,416069,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,29 STREET,W,39 AVENUE,40 AVENUE,40.7534082954602,-73.9346361606398,1002359.61829631,213770.395343557,POINT (-73.9346361606398 40.7534082954602)
4189,4123028,Active,466121,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,83 STREET,E,35 AVENUE,37 AVENUE,40.7502318684631,-73.8833986447482,1016556.95013781,212627.865804479,POINT (-73.8833986447482 40.7502318684631)
1587,3333099,Active,319467,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,AVENUE N,N,EAST 45 STREET,EAST 46 STREET,40.6187234383528,-73.9315222329217,1003260.71820013,164701.445581391,POINT (-73.9315222329217 40.6187234383528)
8619,3453013,Active,311489,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,18 AVENUE,E,BAY RIDGE PARKWAY,76 STREET,40.6131332059562,-73.9961501563061,985318.878755808,162657.370273232,POINT (-73.9961501563061 40.6131332059562)
1502,4072216,Active,413287,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,44 STREET,E,BROADWAY,34 AVENUE,40.7572647147875,-73.9159130463605,1007545.66927589,215179.838718891,POINT (-73.9159130463605 40.7572647147875)
4202,1323013,Active,104577,2HR Pas Mon-Sat 0730-1900,,On Street,Manhattan,7 AVENUE SOUTH,W,MORTON STREET,COMMERCE STREET,40.7313008332038,-74.0042422479824,983074.258245051,205709.215271726,POINT (-74.0042422479824 40.7313008332038)
2453,1443744,Active,102590,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,EAST 24 STREET,S,PARK AVENUE SOUTH,LEXINGTON AVENUE,40.7406369325822,-73.9854895980798,988271.00375706,209110.954859316,POINT (-73.9854895980798 40.7406369325822)
8961,1033093,Active,114137,2HR Com Mon-Fri 1000-1600 /2HR Pas Mon-Fri  1600-1900 /2HR Pas Sat 0900-1900,,On Street,Manhattan,COLUMBUS AVENUE,W,WEST 69 STREET,WEST 70 STREET,40.7757590556636,-73.9801232522976,989755.177954048,221907.382678479,POINT (-73.9801232522976 40.7757590556636)
15171,1443776,Active,104801,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,WEST 23 STREET,S,8 AVENUE,9 AVENUE,40.7460018951392,-74.0003552587299,984151.56153664,211065.248850971,POINT (-74.0003552587299 40.7460018951392)
9406,1453143,Active,105211,3HR Com Mon-Fri 0800-1800,,On Street,Manhattan,EAST 18 STREET,S,BROADWAY,PARK AVENUE SOUTH,40.737617344423,-73.9898087348279,987074.247948468,208010.654566482,POINT (-73.9898087348279 40.737617344423)
810,4081831,Active,418077,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,HILLSIDE AVENUE,S,150 STREET,153 STREET,40.706801970946,-73.8056328749428,1038138.73440197,196843.286481306,POINT (-73.8056328749428 40.706801970946)
7374,4413015,Active,464860,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,QUEENS BOULEVARD,S,VAN LOON STREET,GRAND AVENUE,40.7368638563799,-73.8791128762393,1017751.13639772,207759.087156221,POINT (-73.8791128762393 40.7368638563799)
15468,1433865,Active,103053,3HR Com Mon-Fri 0800-1900,,On Street,Manhattan,EAST 51 STREET,S,3 AVENUE,2 AVENUE,40.756213628124,-73.969851775654,992602.47573714,214787.149871722,POINT (-73.969851775654 40.756213628124)
8931,4013074,Active,426013,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,45 STREET,W,QUEENS BOULEVARD,GREENPOINT AVENUE,40.7428714092479,-73.9197568616749,1006485.5726428,209934.897109061,POINT (-73.9197568616749 40.7428714092479)
4561,1133099,Active,106725,2HR Pas Mon-Fri 1000-1500 / 2HR Pas Sat 0900-1900,,On Street,Manhattan,EAST 1 STREET,S,1 AVENUE,EAST HOUSTON STREET,40.7230746334692,-73.988099881041,987548.532761052,202712.350858644,POINT (-73.988099881041 40.7230746334692)
7767,4233087,Active,416601,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,34 STREET,E,BROADWAY,34 AVENUE,40.7606058139189,-73.9231312886537,1005544.84092847,216395.272639722,POINT (-73.9231312886537 40.7606058139189)
13025,2013113,Active,212007,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,BATHGATE AVENUE,E,EAST 189 STREET,EAST FORDHAM ROAD,40.8593938870046,-73.8875780671302,1015347.90793647,252397.896172389,POINT (-73.8875780671302 40.8593938870046)
4448,1023095,Active,105172,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,SUFFOLK STREET,W,DELANCEY STREET,RIVINGTON STREET,40.7184512385563,-73.9864221021272,988013.848759547,201027.973649979,POINT (-73.9864221021272 40.7184512385563)
3963,4023119,Active,421052,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,83 AVENUE,N,BEVERLY ROAD,GRENFELL STREET,40.7086378130499,-73.8311018398188,1031076.12483956,197497.496130899,POINT (-73.8311018398188 40.7086378130499)
1880,3029626,Active,312655,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,5 AVENUE,E,3 STREET,4 STREET,40.6724283355101,-73.9834846451855,988831.285116807,184260.610859305,POINT (-73.9834846451855 40.6724283355101)
5423,3033052,Active,338972,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,ROCKAWAY AVENUE,W,GLENMORE AVENUE,PITKIN AVENUE,40.6705635669698,-73.9110415034026,1008927.37254922,183593.321183398,POINT (-73.9110415034026 40.6705635669698)
11473,1073016,Active,105655,3HR Com Mon-Sat 0800-1900,,On Street,Manhattan,EAST 64 STREET,S,3 AVENUE,2 AVENUE,40.7638331643263,-73.962395433909,994667.041161805,217563.995039806,POINT (-73.962395433909 40.7638331643263)
1338,1183048,Active,111749,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,MADISON AVENUE,E,EAST 78 STREET,EAST 79 STREET,40.7759477760922,-73.9622840511498,994695.995500222,221977.764099389,POINT (-73.9622840511498 40.7759477760922)
14886,1403157,Active,106612,3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400,,On Street,Manhattan,WEST 52 STREET,N,8 AVENUE,9 AVENUE,40.7645132469136,-73.9873687910805,987749.002832547,217809.787855312,POINT (-73.9873687910805 40.7645132469136)
10610,1443545,Active,103291,3HR Com Mon-Fri 0800-1900,,On Street,Manhattan,EAST 25 STREET,S,PARK AVENUE SOUTH,LEXINGTON AVENUE,40.7413017120512,-73.9851566010649,988363.240121141,209353.17058222,POINT (-73.9851566010649 40.7413017120512)
13322,4433021,Active,438302,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,178 STREET,W,75 AVENUE,UNION TURNPIKE,40.7265169681233,-73.7901197504487,1042422.56638548,204035.965665475,POINT (-73.7901197504487 40.7265169681233)
1719,4253107,Active,422393,2 HR Pas Mon-Sat 1000-1900,,On Street,Queens,LINDEN BOULEVARD,N,NEWBURG STREET,MEXICO STREET,40.6920059455578,-73.764538876677,1049546.60528697,191480.62725915,POINT (-73.764538876677 40.6920059455578)
14039,4113102,Retired,449000,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,MOTT AVENUE,S,BEACH 22 STREET,REDFERN AVENUE,40.604851509077,-73.7542949224133,1052476.45178947,159735.795407727,POINT (-73.7542949224133 40.604851509077)
2095,4033062,Active,411060,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,JAMAICA AVENUE,S,170 STREET,171 STREET,40.707304965265,-73.7889338562982,1042768.12573372,197037.25623773,POINT (-73.7889338562982 40.707304965265)
6837,2133009,Inactive,212960,2 HR Pas Mon-Sat 1000-1900,,On Street,Bronx,HUGHES AVENUE,W,CRESCENT AVENUE,EAST 186 STREET,40.8538450147252,-73.8880815906462,1015211.20742247,250376.052118972,POINT (-73.8880815906462 40.8538450147252)
5470,4413108,Active,459751,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,43 AVENUE,S,ITHACA STREET,HAMPTON STREET,40.7431942334234,-73.8747306581728,1018962.27013031,210067.148156896,POINT (-73.8747306581728 40.7431942334234)
13374,2233026,Active,207403,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,MATTHEWS AVENUE,E,ALLERTON AVENUE,ARNOW AVENUE,40.8658505309609,-73.8625051230126,1022279.83304897,254760.192956984,POINT (-73.8625051230126 40.8658505309609)
9209,4103004,Active,456958,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,BEACH 116 STREET,E,ROCKAWAY BEACH BOULEVARD,NEWPORT AVENUE,40.580255492596,-73.8374595808953,1029400.26631464,150721.046376899,POINT (-73.8374595808953 40.580255492596)
3945,1208013,Active,109887,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,3 AVENUE,W,EAST 77 STREET,EAST 78 STREET,40.7732698251342,-73.9581780856072,995833.669734061,221002.613162562,POINT (-73.9581780856072 40.7732698251342)
1412,4443156,Retired,443525,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,156 AVENUE,S,CROSS BAY BOULEVARD,KILLARNEY STREET,40.6642509611351,-73.8400545991269,1028623.55002031,181321.441212729,POINT (-73.8400545991269 40.6642509611351)
14783,4283016,Active,438319,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,BURLING STREET,W,DELAWARE AVENUE,45 AVENUE,40.7548282703617,-73.8172241809522,1034888.51354022,214333.811539561,POINT (-73.8172241809522 40.7548282703617)
7428,4122366,Active,467421,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,90 STREET,W,37 AVENUE,ROOSEVELT AVENUE,40.7502948867598,-73.8768830678653,1018362.19948006,212653.295543641,POINT (-73.8768830678653 40.7502948867598)
10648,1243046,Active,101377,3HR Com Mon-Sat 0800-1900 /5HR Pas Mon-Sat 1900-2400,,On Street,Manhattan,CANAL STREET,S,WOOSTER STREET,WEST BROADWAY,40.7210553281404,-74.0043944506338,983031.887922972,201976.462238565,POINT (-74.0043944506338 40.7210553281404)
5366,4093061,Inactive,451517,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,MYRTLE AVENUE,N,FOREST AVENUE,71 AVENUE,40.7005564825025,-73.8994194051826,1012138.83167747,194524.093285054,POINT (-73.8994194051826 40.7005564825025)
6388,4433029,Active,439831,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,UNION TURNPIKE,S,SURREY PLACE,SURREY PLACE,40.7264609641937,-73.7892258526088,1042670.37691347,204016.156649977,POINT (-73.7892258526088 40.7264609641937)
630,4122413,Active,463027,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,75 STREET,E,37 AVENUE,37 ROAD,40.7488480446973,-73.8907830375214,1014511.57266688,212121.057434887,POINT (-73.8907830375214 40.7488480446973)
13956,4072229,Active,422048,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,BROADWAY,N,41 STREET,42 STREET,40.7585287688446,-73.9179060307548,1006993.09623405,215639.850922227,POINT (-73.9179060307548 40.7585287688446)
8187,4413020,Active,465019,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,QUEENS BOULEVARD,S,54 AVENUE,55 AVENUE,40.7356570109943,-73.8765006595886,1018475.67267831,207320.405618891,POINT (-73.8765006595886 40.7356570109943)
3884,1473098,Retired,103202,3HR Com Mon-Fri 0800-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0800-1800,,On Street,Manhattan,SPRING STREET,N,CROSBY STREET,BROADWAY,40.722873862763,-73.9984030796951,984692.643459722,202638.983879387,POINT (-73.9984030796951 40.722873862763)
5117,4163130,Active,441052,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,246 STREET,N,FRANCIS LEWIS BOULEVARD,MEMPHIS AVENUE,40.6642501711997,-73.7348227020594,1057817.8971433,181391.99586165,POINT (-73.7348227020594 40.6642501711997)
10411,4063141,Active,450677,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,FARRINGTON STREET,E,32 AVENUE,33 AVENUE,40.7670177413136,-73.8327493214382,1030578.75936447,218766.233777061,POINT (-73.8327493214382 40.7670177413136)
6406,2203023,Active,201758,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,WESTCHESTER AVENUE,S,ST LAWRENCE AVENUE,BEACH AVENUE,40.8316731349214,-73.866693335601,1021140.36223081,242306.295292646,POINT (-73.866693335601 40.8316731349214)
13617,3493028,Active,323601,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,NEW UTRECHT AVENUE,E,72 STREET,16 AVENUE,40.6179700331105,-73.9992523803061,984457.555675298,164419.530462816,POINT (-73.9992523803061 40.6179700331105)
9459,3423062,Active,322364,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,3 AVENUE,E,BAY RIDGE PARKWAY,76 STREET,40.6310807848618,-74.0278631199597,976516.10436663,169197.354240477,POINT (-74.0278631199597 40.6310807848618)
5562,1113031,Active,103738,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,HUDSON STREET,W,HARRISON STREET,LEONARD STREET,40.7189499440106,-74.0088496168319,981796.868411392,201209.499533638,POINT (-74.0088496168319 40.7189499440106)
6980,1183002,Active,102297,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,EAST 64 STREET,N,MADISON AVENUE,PARK AVENUE,40.7666631408106,-73.9688851944181,992868.911884055,218594.343700901,POINT (-73.9688851944181 40.7666631408106)
2613,3149806,Active,313784,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,5 AVENUE,W,7 STREET,8 STREET,40.6700215875836,-73.9857031350428,988216.029129475,183383.655920312,POINT (-73.9857031350428 40.6700215875836)
14344,1473126,Active,107180,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,EAST 10 STREET,S,4 AVENUE,3 AVENUE,40.7310742380254,-73.990011578716,987018.306787387,205626.788927391,POINT (-73.990011578716 40.7310742380254)
4095,4122376,Active,403810,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,86 STREET,E,37 AVENUE,ROOSEVELT AVENUE,40.7499250184209,-73.880498594448,1017360.62438346,212517.153427482,POINT (-73.880498594448 40.7499250184209)
6168,3513005,Active,308449,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,20 AVENUE,E,73 STREET,74 STREET,40.6117403102561,-73.9907443645565,986819.807840556,162150.014332563,POINT (-73.9907443645565 40.6117403102561)
1025,4273037,Active,418431,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,NORTHERN BOULEVARD,N,JUNCTION BOULEVARD,95 STREET,40.7569181916315,-73.873370982594,1019331.80941747,215067.764796063,POINT (-73.873370982594 40.7569181916315)
5919,3223062,Active,308264,2 HR Pas Mon-Sat 0800-2200,,On Street,Brooklyn,FRANKLIN STREET,E,MILTON STREET,GREENPOINT AVENUE,40.7294874696029,-73.9574587001321,996040.668991968,205051.384894475,POINT (-73.9574587001321 40.7294874696029)
13143,1038124,Active,109513,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,AMSTERDAM AVENUE,W,WEST 92 STREET,WEST 93 STREET,40.7918422419323,-73.9721044426808,991974.247334808,227767.640314892,POINT (-73.9721044426808 40.7918422419323)
1470,3543090,Active,309668,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,EAST 1 STREET,W,AVENUE W,AVENUE X,40.590834568045,-73.9693862680979,992752.500371471,154534.865848973,POINT (-73.9693862680979 40.590834568045)
13163,4153003,Inactive,412868,12HR Pas Mon-Sat 0700-1900,,On Street,Queens,SKILLMAN AVENUE,N,35 STREET,36 STREET,40.7472543105399,-73.9289131321122,1003947.0521293,211529.53598015,POINT (-73.9289131321122 40.7472543105399)
7273,1183103,Active,104708,3HR Com Mon-Fri 1000-1600,,On Street,Manhattan,PARK AVENUE,W,EAST 61 STREET,EAST 62 STREET,40.7646910180968,-73.9687284316017,992912.592242882,217875.849731058,POINT (-73.9687284316017 40.7646910180968)
13200,1443289,Active,101801,3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,,On Street,Manhattan,BROADWAY,W,WEST 41 STREET,WEST 42 STREET,40.7555114210078,-73.9866007685634,987962.256343052,214530.159572065,POINT (-73.9866007685634 40.7555114210078)
